Acworth	ppl	Cobb	Georgia	34.0658	-83.3231	913
Acy	ppl	Ascension	Louisiana	30.2186	-89.1797	8
Ada	ppl	Ottawa	Kansas	39.1514	-96.1111	1301
Ada	ppl	Hardin	Ohio	40.7694	-82.1772	965
Ada	ppl	Sheboygan	Wisconsin	43.8769	-86.1044	896
Ada	ppl	Bienville	Louisiana	32.5458	-92.8597	240
Ada (county seat)	ppl	Pontotoc	Oklahoma	34.7744	-95.3219	1010
Ada (county seat)	ppl	Norman	Minnesota	47.2997	-95.485	907
Ada County	civil	Ada	Idaho	43.4333	-115.2667	
Ada, Mount	summit	Sitka	Alaska	56.68	-133.3083	4528
Adair	ppl	McDonough	Illinois	40.4189	-89.5033	857
Adair	ppl	Guthrie	Iowa	41.5006	-93.3567	1403
Adair	ppl	Mayes	Oklahoma	36.4367	-94.7289	680
Adair County	civil	Adair	Iowa	41.3333	-93.5333	
Adair County	civil	Adair	Kentucky	37.1167	-84.70	
Adair County	civil	Adair	Missouri	40.20	-91.40	
Adair County	civil	Adair	Oklahoma	35.8667	-93.3333	
Adairsville	ppl	Bartow	Georgia	34.3686	-83.0658	714
Adairville	ppl	Logan	Kentucky	36.6675	-85.1481	583
Adak Island	island	Aleutians West	Alaska	51.75	-175.25	
Adak Strait	channel	Aleutians West	Alaska	51.7833	-177.00	
Adam, Point	cape	Kenai Peninsula	Alaska	59.255	-150.025	
Adams	ppl	Decatur	Indiana	39.3825	-84.44	789
Adams	ppl	Lawrence	Kentucky	38.0544	-81.2922	650
Adams	ppl	Berkshire	Massachusetts	42.6242	-72.8819	799
Adams	ppl	Mower	Minnesota	43.5653	-91.2808	1286
Adams	ppl	Hinds	Mississippi	32.1597	-89.4394	270
Adams	ppl	Gage	Nebraska	40.4594	-95.4903	968
Adams	ppl	Jefferson	New York	43.8092	-75.9756	597
Adams	ppl	Walsh	North Dakota	48.4214	-97.9214	968
Adams	ppl	Texas	Oklahoma	36.7564	-100.9233	2842
Adams	ppl	Robertson	Tennessee	36.5822	-86.9344	560
Adams	ppl	Adams	Wisconsin	43.9561	-88.1819	972
Adams Center	ppl	Jefferson	New York	43.86	-75.9942	610
Adams City	ppl	Adams	Colorado	39.8267	-103.0717	5139
Adams County	civil	Adams	Colorado	39.8667	-103.6167	
Adams County	civil	Adams	Idaho	44.8833	-115.5167	
Adams County	civil	Adams	Illinois	39.9667	-90.8167	
Adams County	civil	Adams	Indiana	40.745	-83.0631	
Adams County	civil	Adams	Iowa	41.0333	-93.30	
Adams County	civil	Adams	Mississippi	31.5167	-90.7333	
Adams County	civil	Adams	Nebraska	40.5333	-97.50	
Adams County	civil	Adams	North Dakota	46.10	-101.4333	
Adams County	civil	Adams	Ohio	38.85	-82.5333	
Adams County	civil	Adams	Pennsylvania	39.8667	-76.7667	
Adams County	civil	Adams	Washington	46.9833	-117.4833	
Adams County	civil	Adams	Wisconsin	43.9333	-88.2333	
Adams-McGill Reservoir	reservoir	Nye	Nevada	38.3644	-114.8822	5152
Adams, Mount	summit	Coos	New Hampshire	44.3203	-70.7086	5798
Adams, Mount	summit	Yakima	Washington	46.2028	-120.5106	12276
Adamstown	ppl	Lancaster	Pennsylvania	40.2411	-75.9433	500
Adamsville	ppl	Wayne	North Carolina	35.3708	-76.0464	120
Adamsville	ppl	Muskingum	Ohio	40.0697	-80.1175	1020
